HIP	ha_calc	ha_obs	dec_calc	dec_obs	Date	LST
80763	0.5084895476463882	0.5088888888888903	-26.410494784648805	-26.41222222222222	2018-07-18 00:00:00	17.018055555555556
83207	0.281178211930487	0.28138888888889113	30.90979779214048	30.86916666666667	2018-07-18 00:00:00	17.298055555555557
84380	0.07654012560212296	0.07694444444444315	36.79716594832091	36.74777777777778	2018-07-18 00:00:00	17.33833333333333
85670	-0.14651798808453875	-0.14555555555555344	52.29216700687238	52.22527777777778	2018-07-18 00:00:00	17.368055555555557
90139	-1.0022999518143663	-1.0022222222222226	21.790685271593702	21.82111111111111	2018-07-18 00:00:00	17.40583333333333
88794	-0.7061803682359183	-0.7058333333333309	28.775416625550676	28.75611111111111	2018-07-18 00:00:00	17.43166666666667
89962	-0.8876988003415528	-0.8872222222222206	-2.8699432683647514	-2.8916666666666666	2018-07-18 00:00:00	17.483333333333334
91262	-1.1042487411787787	-1.1038888888888891	38.80809525885261	38.76083333333333	2018-07-18 00:00:00	17.521944444444443
92420	-1.2946983094130933	-1.2947222222222194	33.39272235060863	33.32194444444445	2018-07-18 00:00:00	17.55138888888889
93194	-1.4100539629806075	-1.4102777777777824	32.723630362316584	32.652499999999996	2018-07-18 00:00:00	17.583888888888886
93747	-1.4733934658186492	-1.4733333333333327	13.90632534400058	13.866111111111111	2018-07-18 00:00:00	17.630833333333335
94376	-1.497356456106147	-1.4966666666666697	67.69172269862577	67.59833333333333	2018-07-18 00:00:00	17.71222222222222
94779	-1.5156371016553083	-1.5158333333333331	53.40479109836497	53.30277777777778	2018-07-18 00:00:00	17.776666666666667
95853	-1.7065538960136928	-1.7069444444444422	51.77171954125232	51.67916666666667	2018-07-18 00:00:00	17.79638888888889
97165	-1.9355755003075943	-1.9361111111111136	45.180306504572755	45.08555555555556	2018-07-18 00:00:00	17.82361111111111
95947	-1.6666146594192406	-1.6669444444444395	28.00833487024672	27.919444444444444	2018-07-18 00:00:00	17.85777777777778
97365	-1.9047483552278979	-1.9050000000000011	18.593264111468695	18.503888888888888	2018-07-18 00:00:00	17.898611111111112
98110	-2.023514993972894	-2.0238888888888873	35.13989996827281	35.11472222222223	2018-07-18 00:00:00	17.92638888888889
101769	-2.6712304557305595	-2.671666666666667	14.675233174527415	14.614444444444445	2018-07-18 00:00:00	17.96861111111111
109176	-4.126468888145363	-4.127222222222223	25.449275108801537	25.41777777777778	2018-07-18 00:00:00	18.003888888888888
116584	-5.596520002018575	-5.598333333333329	46.566719796243625	46.509166666666665	2018-07-18 00:00:00	18.043333333333337
113881	-5.006878928191914	-5.008333333333333	28.199294765725178	28.12611111111111	2018-07-18 00:00:00	18.06972222222222
113726	-4.950163447254488	-4.951666666666668	42.433286194189634	42.38472222222222	2018-07-18 00:00:00	18.095
677	-6.033768457054168	-6.035555555555554	29.21721877351006	29.16472222222222	2018-07-18 00:00:00	18.12
9598	-7.905958659377914	-7.905555555555555	72.5155888481303	72.44027777777778	2018-07-18 00:00:00	18.175
11767	-8.622218232042574	-8.527222222222223	89.34347999455935	89.23361111111112	2018-07-18 00:00:00	18.226666666666667
8886	-7.667922491246049	-7.668888888888887	63.76987484866129	63.65694444444444	2018-07-18 00:00:00	18.25861111111111
3179	-6.411463823109666	-6.413611111111113	56.64532222183428	56.55916666666666	2018-07-18 00:00:00	18.279444444444444
113726	-4.736904107125747	-4.738333333333333	42.43235121402871	42.33305555555556	2018-07-18 00:00:00	18.308333333333334
102098	-2.3597936054761215	-2.3605555555555533	45.34979197901028	45.25805555555556	2018-07-18 00:00:00	18.34111111111111
88771	0.24486916741479553	0.24472222222222229	9.583497935206324	9.563055555555556	2018-07-18 00:00:00	18.38222222222222
84345	1.1625096697751645	1.1625000000000014	14.385328751589837	14.373055555555556	2018-07-18 00:00:00	18.421111111111113
83207	1.4417615231474168	1.4419444444444451	30.91047012871082	30.88888888888889	2018-07-18 00:00:00	18.45888888888889
81377	1.9189455431957247	1.9188888888888904	-10.570242645654506	-10.596944444444444	2018-07-18 00:00:00	18.55611111111111
80883	2.0926993104131157	2.09277777777778	1.967274409271611	1.9494444444444445	2018-07-18 00:00:00	18.624166666666667
80816	2.1308207556617726	2.131111111111114	21.464540239145478	21.427222222222223	2018-07-18 00:00:00	18.648333333333333
80331	2.283844280059705	2.2861111111111114	61.47696427122451	61.416666666666664	2018-07-18 00:00:00	18.689166666666665
79992	2.391174992665887	2.3922222222222196	46.27820180673413	46.195277777777775	2018-07-18 00:00:00	18.730277777777776
75695	3.2893435209844393	3.290277777777776	29.057607557254613	29.011111111111113	2018-07-18 00:00:00	18.766666666666666
76276	3.195161420595681	3.1955555555555577	10.499956743004745	10.438611111111111	2018-07-18 00:00:00	18.790833333333335
