HIP	ha_calc	ha_obs	dec_calc	dec_obs	Date
97649	0.6366138896971769	0.615000000000002	8.88706619402326	8.772222222222224	2017-10-18 00:00:00
91262	2.6670781148929805	2.650555555555556	38.795081160498306	38.65333333333333	2017-10-18 00:00:00
102098	0.7091731842815854	0.6919444444444451	45.28677191617639	45.176944444444445	2017-10-18 00:00:00
677	-2.5229404144008463	-2.5461111111111094	29.100725393657083	29.033611111111114	2017-10-18 00:00:00
746	-2.3863923726127823	-2.41	59.150798665703746	59.035	2017-10-18 00:00:00
3179	-2.824808866129768	-2.849722222222219	56.53997092535257	56.42861111111111	2017-10-18 00:00:00
4427	-2.9780657085298934	-3.0038888888888913	60.71823242734932	60.588055555555556	2017-10-18 00:00:00
105199	0.8396065953989336	0.8263888888888893	62.58756606355026	62.44694444444444	2017-10-18 00:00:00
97649	2.4027838394234244	2.381388888888889	8.889969397237508	8.780833333333334	2017-10-18 00:00:00
5447	-2.7786810391138665	-2.803055555555556	35.6286907205185	35.55583333333333	2017-10-18 00:00:00
113963	-0.546183712538383	-0.5677777777777777	15.219055959101008	15.175555555555555	2017-10-18 00:00:00
100453	2.312215856156982	2.2950000000000017	40.26584103796852	40.17333333333333	2017-10-18 00:00:00
102488	2.2290360595207943	2.2105555555555547	33.9824973208341	33.918055555555554	2017-10-18 00:00:00
113881	0.04496698032900781	0.036666666666668846	28.092380290214887	28.31638888888889	2017-09-22 00:00:00
105199	1.8875042272691651	1.8822222222222216	62.58714465915584	62.67527777777777	2017-09-22 00:00:00
107315	1.5725924661950472	1.5580555555555584	9.892252998384752	10.0125	2017-09-22 00:00:00
113963	0.31382082957258106	0.2991666666666646	15.218587512425	15.29861111111111	2017-09-22 00:00:00
677	-0.6645378336048466	-0.6794444444444458	29.097655748300422	29.220555555555553	2017-09-22 00:00:00
746	-0.6023742284146181	-0.6169444444444423	59.14724950099231	59.18444444444444	2017-09-22 00:00:00
3179	-1.0479231313486288	-1.0644444444444439	56.53597576325268	56.569722222222225	2017-09-22 00:00:00
9640	-2.3220345465236676	-2.3408333333333324	42.33296353110187	42.36555555555556	2017-09-22 00:00:00
9884	-2.3238412580395753	-2.3408333333333324	23.47259241359546	23.52361111111111	2017-09-22 00:00:00
15863	-3.5280233386692323	-3.549722222222222	49.863112863916164	49.900555555555556	2017-09-22 00:00:00
102488	3.2480252429985654	3.2372222222222256	33.9840150070487	34.04694444444444	2017-09-22 00:00:00
105199	2.7854765479256187	2.781111111111109	62.588427720995895	62.661944444444444	2017-09-22 00:00:00
107315	2.4387222587426365	2.424444444444447	9.894174248249943	9.958888888888888	2017-09-22 00:00:00
15863	0.5943745342996234	0.6475	49.864110971102605	49.8925	2018-02-06 00:00:00
23015	-0.15007771980281515	-0.09527777777777757	33.17192441430404	33.19416666666666	2018-02-06 00:00:00
21421	0.5343553129009644	0.591111111111112	16.518738998594937	16.56638888888889	2018-02-06 00:00:00
24608	0.7213200048652775	0.7736111111111112	45.9990494159565	46.01583333333333	2018-02-06 00:00:00
31681	-0.12880941626455833	-0.07194444444444414	16.408737878139934	16.396666666666665	2018-02-06 00:00:00
25428	1.1446164997324724	1.1997222222222215	28.613777998500584	28.638333333333332	2018-02-06 00:00:00
28380	0.6708107457834132	0.7247222222222227	37.21685094892882	37.24527777777778	2018-02-06 00:00:00
36850	-0.8267611955568395	-0.7716666666666665	31.892482691830438	31.8475	2018-02-06 00:00:00
37826	-0.9218787638432255	-0.8661111111111115	28.03193161404717	27.984166666666667	2018-02-06 00:00:00
37279	-0.7382758118858854	-0.6797222222222219	5.234331288806919	5.206944444444445	2018-02-06 00:00:00
27989	1.1132548833342462	1.1708333333333334	7.421159714519102	7.461388888888889	2018-02-06 00:00:00
25336	1.8304401643936794	1.8886111111111115	6.36541478420993	6.420555555555556	2018-02-06 00:00:00
21421	-2.7619888404353885	-2.761666666666666	16.523220706174364	16.51361111111111	2017-11-22 00:00:00
24436	-3.3533763078471406	-3.353888888888889	-8.157570812212068	-8.166944444444443	2017-11-22 00:00:00
25336	-3.4727684405115644	-3.4755555555555553	6.374399823427711	6.379722222222222	2017-11-22 00:00:00
25428	-3.4391260787956233	-3.4450000000000003	28.617373980294296	28.612222222222222	2017-11-22 00:00:00
24608	-3.111184058044135	-3.1199999999999997	45.99941678351993	45.95194444444445	2017-11-22 00:00:00
15863	-1.1892359493474038	-1.1974999999999998	49.8629105818391	49.83388888888889	2017-11-22 00:00:00
677	2.2633016651891538	2.2616666666666667	29.10068240970316	29.19472222222222	2017-11-22 00:00:00
113881	3.3944068409369876	3.3941666666666634	28.097711282482603	28.192777777777778	2017-11-22 00:00:00
102098	0.20929525754634426	0.1941666666666677	45.28662716206421	45.27861111111111	2017-10-17 00:00:00
100453	0.7792654340231557	0.7636111111111106	40.26440714983385	40.24916666666667	2017-10-17 00:00:00
91262	2.6504079475833535	2.6361111111111093	38.79507891072323	38.72361111111111	2017-10-17 00:00:00
5447	-3.7283977141945925	-3.7511111111111113	35.63106709982286	35.624722222222225	2017-10-17 00:00:00
4427	-3.39457786773292	-3.418333333333333	60.718999592419785	60.72083333333334	2017-10-17 00:00:00
97649	1.819625616542094	1.8000000000000007	8.888554424271844	8.832222222222223	2017-10-17 00:00:00
107315	0.03004147248249822	0.01055555555555543	9.891170482665798	9.926666666666666	2017-10-17 00:00:00
113963	-1.2460201691544732	-1.2661111111111119	15.219578980410947	15.285555555555556	2017-10-17 00:00:00
677	-2.239685051639288	-2.261111111111113	29.10019191657779	29.175555555555558	2017-10-17 00:00:00
