HIP	ha_calc	ha_obs	dec_calc	dec_obs	Date	LST
80763	0.5272148035880733	0.5088888888888903	-26.36936982266055	-26.41222222222222	2018-07-18 00:00:00	17.018055555555556
83207	0.29284797961301123	0.28138888888889113	30.934620136797033	30.86916666666667	2018-07-18 00:00:00	17.298055555555557
84380	0.08716082349554455	0.07694444444444315	36.81549866022777	36.74777777777778	2018-07-18 00:00:00	17.33833333333333
85670	-0.13962145633465184	-0.14555555555555344	52.30354216708078	52.22527777777778	2018-07-18 00:00:00	17.368055555555557
90139	-0.9893618998882836	-1.0022222222222226	21.778897152593746	21.82111111111111	2018-07-18 00:00:00	17.40583333333333
88794	-0.6942753966702533	-0.7058333333333309	28.770655281554912	28.75611111111111	2018-07-18 00:00:00	17.43166666666667
89962	-0.8717268624626655	-0.8872222222222206	-2.8800321070619854	-2.8916666666666666	2018-07-18 00:00:00	17.483333333333334
91262	-1.0939858579124682	-1.1038888888888891	38.790239036501504	38.76083333333333	2018-07-18 00:00:00	17.521944444444443
92420	-1.2834118684455866	-1.2947222222222194	33.369238082046614	33.32194444444445	2018-07-18 00:00:00	17.55138888888889
93194	-1.3986136225510215	-1.4102777777777824	32.69635116393326	32.652499999999996	2018-07-18 00:00:00	17.583888888888886
93747	-1.459358088109937	-1.4733333333333327	13.876632729275332	13.866111111111111	2018-07-18 00:00:00	17.630833333333335
94376	-1.497320778055517	-1.4966666666666697	67.65827544741117	67.59833333333333	2018-07-18 00:00:00	17.71222222222222
94779	-1.5085641181280316	-1.5158333333333331	53.369577669198115	53.30277777777778	2018-07-18 00:00:00	17.776666666666667
95853	-1.698810496577142	-1.7069444444444422	51.73133696894095	51.67916666666667	2018-07-18 00:00:00	17.79638888888889
97165	-1.9259984029902277	-1.9361111111111136	45.133885537230036	45.08555555555556	2018-07-18 00:00:00	17.82361111111111
95947	-1.6542791003404425	-1.6669444444444395	27.967861475998017	27.919444444444444	2018-07-18 00:00:00	17.85777777777778
97365	-1.8911218104516827	-1.9050000000000011	18.54631423926328	18.503888888888888	2018-07-18 00:00:00	17.898611111111112
98110	-2.0120013597749242	-2.0238888888888873	35.08920530173878	35.11472222222223	2018-07-18 00:00:00	17.92638888888889
101769	-2.6569256864460016	-2.671666666666667	14.610056754321963	14.614444444444445	2018-07-18 00:00:00	17.96861111111111
109176	-4.11226600264952	-4.127222222222223	25.359573596281557	25.41777777777778	2018-07-18 00:00:00	18.003888888888888
116584	-5.581388077594941	-5.598333333333329	46.46593110004472	46.509166666666665	2018-07-18 00:00:00	18.043333333333337
113881	-4.992000171204442	-5.008333333333333	28.101142913481265	28.12611111111111	2018-07-18 00:00:00	18.06972222222222
113726	-4.935919049947113	-4.951666666666668	42.33490586094352	42.38472222222222	2018-07-18 00:00:00	18.095
677	-6.017826841581702	-6.035555555555554	29.11716657304406	29.16472222222222	2018-07-18 00:00:00	18.12
9598	-7.878811241984234	-7.905555555555555	72.42987933159016	72.44027777777778	2018-07-18 00:00:00	18.175
11767	-8.238000427846794	-8.527222222222223	89.26671133050462	89.23361111111112	2018-07-18 00:00:00	18.226666666666667
8886	-7.64537214515731	-7.668888888888887	63.68227458379955	63.65694444444444	2018-07-18 00:00:00	18.25861111111111
3179	-6.39374682981888	-6.413611111111113	56.546121681940605	56.55916666666666	2018-07-18 00:00:00	18.279444444444444
113726	-4.722663744795202	-4.738333333333333	42.33391714240784	42.33305555555556	2018-07-18 00:00:00	18.308333333333334
102098	-2.3492944065364014	-2.3605555555555533	45.282717867452995	45.25805555555556	2018-07-18 00:00:00	18.34111111111111
88771	0.2593416664823174	0.24472222222222229	9.579167422756695	9.563055555555556	2018-07-18 00:00:00	18.38222222222222
84345	1.176401301970035	1.1625000000000014	14.404224982649733	14.373055555555556	2018-07-18 00:00:00	18.421111111111113
83207	1.4534178173252954	1.4419444444444451	30.935319900584858	30.88888888888889	2018-07-18 00:00:00	18.45888888888889
81377	1.935712038500057	1.9188888888888904	-10.534199814196228	-10.596944444444444	2018-07-18 00:00:00	18.55611111111111
80883	2.108066374255909	2.09277777777778	2.005275523452851	1.9494444444444445	2018-07-18 00:00:00	18.624166666666667
80816	2.143927629177444	2.131111111111114	21.50230989993951	21.427222222222223	2018-07-18 00:00:00	18.648333333333333
80331	2.287916423423205	2.2861111111111114	61.51674043950394	61.416666666666664	2018-07-18 00:00:00	18.689166666666665
79992	2.400276723537484	2.3922222222222196	46.31989524308206	46.195277777777775	2018-07-18 00:00:00	18.730277777777776
75695	3.3019059519641036	3.290277777777776	29.119471287350848	29.011111111111113	2018-07-18 00:00:00	18.766666666666666
76276	3.209701759100353	3.1955555555555577	10.559778062304389	10.438611111111111	2018-07-18 00:00:00	18.790833333333335
75458	3.4221272221230077	3.4183333333333312	58.97175034404706	58.86666666666667	2018-07-18 00:00:00	18.839166666666664
75097	3.5141383327066595	3.520833333333332	71.83654234166922	71.73166666666667	2018-07-18 00:00:00	18.862222222222222
72607	4.04151970004072	4.050277777777778	74.15894472673246	74.01472222222222	2018-07-18 00:00:00	18.889722222222222
68756	4.837842239054428	4.834722222222222	64.38455364111476	64.23222222222222	2018-07-18 00:00:00	18.913055555555555
65477	5.51523058544867	5.506666666666668	55.00187053686743	54.83083333333334	2018-07-18 00:00:00	18.9375
62956	6.058402596740326	6.048888888888889	55.97605899805835	55.80694444444444	2018-07-18 00:00:00	18.960833333333333
56211	7.476749347823876	7.468055555555557	69.3486135193789	69.16305555555556	2018-07-18 00:00:00	19.0025
