HIP	ha_calc_uncorr	ha_obs	dec_calc_uncorr	dec_obs	Date
97649	0.6226689969227657	0.615000000000002	8.920289220942996	8.772222222222224	2017-10-18 00:00:00
91262	2.657906759749057	2.650555555555556	38.80752637413669	38.65333333333333	2017-10-18 00:00:00
102098	0.6992950520479617	0.6919444444444451	45.350295226982205	45.176944444444445	2017-10-18 00:00:00
677	-2.5387500932199707	-2.5461111111111094	29.190103151280702	29.033611111111114	2017-10-18 00:00:00
746	-2.402931554596993	-2.41	59.2494673130273	59.035	2017-10-18 00:00:00
3179	-2.8427091440652	-2.849722222222219	56.635468133376214	56.42861111111111	2017-10-18 00:00:00
4427	-2.997297965337534	-3.0038888888888913	60.813029824062205	60.588055555555556	2017-10-18 00:00:00
105199	0.8329078347819063	0.8263888888888893	62.666916328890345	62.44694444444444	2017-10-18 00:00:00
97649	2.3893368185424357	2.381388888888889	8.92029231158196	8.780833333333334	2017-10-18 00:00:00
5447	-2.7958614549397858	-2.803055555555556	35.71481639589307	35.55583333333333	2017-10-18 00:00:00
113963	-0.560918256605575	-0.5677777777777777	15.30333221549849	15.175555555555555	2017-10-18 00:00:00
100453	2.3022307043656127	2.2950000000000017	40.32012620024541	40.17333333333333	2017-10-18 00:00:00
102488	2.2178037007453106	2.2105555555555547	34.042829199614665	33.918055555555554	2017-10-18 00:00:00
113881	0.03079350723723806	0.036666666666668846	28.18112057719708	28.31638888888889	2017-09-22 00:00:00
105199	1.8812518971005687	1.8822222222222216	62.66546673312871	62.67527777777777	2017-09-22 00:00:00
107315	1.5586479183716584	1.5580555555555584	9.959732393877776	10.0125	2017-09-22 00:00:00
113963	0.29932344353941787	0.2991666666666646	15.302703946102284	15.29861111111111	2017-09-22 00:00:00
677	-0.6798535812759532	-0.6794444444444458	29.18885621478961	29.220555555555553	2017-09-22 00:00:00
746	-0.6182209411819066	-0.6169444444444423	59.24723180126621	59.18444444444444	2017-09-22 00:00:00
3179	-1.0651733064198758	-1.0644444444444439	56.63327294107866	56.569722222222225	2017-09-22 00:00:00
9640	-2.340751895710813	-2.3408333333333324	42.41183585669652	42.36555555555556	2017-09-22 00:00:00
9884	-2.3408921465334274	-2.3408333333333324	23.544434972989873	23.52361111111111	2017-09-22 00:00:00
15863	-3.55013456241128	-3.549722222222222	49.91897228927369	49.900555555555556	2017-09-22 00:00:00
102488	3.237105628280073	3.2372222222222256	34.04214047518472	34.04694444444444	2017-09-22 00:00:00
105199	2.779586671897558	2.781111111111109	62.66547934893343	62.661944444444444	2017-09-22 00:00:00
107315	2.425037363602417	2.424444444444447	9.959735093244094	9.958888888888888	2017-09-22 00:00:00
15863	0.5730315611248002	0.6475	49.925089516428066	49.8925	2018-02-06 00:00:00
23015	-0.16959033090292674	-0.09527777777777757	33.19227153925155	33.19416666666666	2018-02-06 00:00:00
21421	0.5173476710355747	0.591111111111112	16.54199400080737	16.56638888888889	2018-02-06 00:00:00
