HIP	ha_calc	ha_obs	dec_calc	dec_obs	Date	LST
80763	0.5084826161821371	0.5088888888888903	-26.409452411879286	-26.41222222222222	2018-07-18 00:00:00	17.018055555555556
83207	0.28117716659393316	0.28138888888889113	30.909887176095324	30.86916666666667	2018-07-18 00:00:00	17.298055555555557
84380	0.07653983025571136	0.07694444444444315	36.79722531854539	36.74777777777778	2018-07-18 00:00:00	17.33833333333333
85670	-0.14651728291046692	-0.14555555555555344	52.29215401579883	52.22527777777778	2018-07-18 00:00:00	17.368055555555557
90139	-1.0022962192355842	-1.0022222222222226	21.790830525375625	21.82111111111111	2018-07-18 00:00:00	17.40583333333333
88794	-0.7061777517789011	-0.7058333333333309	28.7755194365125	28.75611111111111	2018-07-18 00:00:00	17.43166666666667
89962	-0.8876943250460765	-0.8872222222222206	-2.86958989800569	-2.8916666666666666	2018-07-18 00:00:00	17.483333333333334
91262	-1.1042443536170736	-1.1038888888888891	38.80815073692899	38.76083333333333	2018-07-18 00:00:00	17.521944444444443
92420	-1.2946933636223787	-1.2947222222222194	33.392807107372015	33.32194444444445	2018-07-18 00:00:00	17.55138888888889
93194	-1.4100485817701525	-1.4102777777777824	32.723720190841206	32.652499999999996	2018-07-18 00:00:00	17.583888888888886
93747	-1.4733876290355865	-1.4733333333333327	13.906530842670396	13.866111111111111	2018-07-18 00:00:00	17.630833333333335
94376	-1.497343962252416	-1.4966666666666697	67.69164595711935	67.59833333333333	2018-07-18 00:00:00	17.71222222222222
94779	-1.5156293750804264	-1.5158333333333331	53.40478305438359	53.30277777777778	2018-07-18 00:00:00	17.776666666666667
95853	-1.706545500507665	-1.7069444444444422	51.77172196910343	51.67916666666667	2018-07-18 00:00:00	17.79638888888889
97165	-1.9355670368413873	-1.9361111111111136	45.18034377627974	45.08555555555556	2018-07-18 00:00:00	17.82361111111111
95947	-1.6666083505553158	-1.6669444444444395	28.00845435846045	27.919444444444444	2018-07-18 00:00:00	17.85777777777778
97365	-1.904740911429276	-1.9050000000000011	18.593446829874715	18.503888888888888	2018-07-18 00:00:00	17.898611111111112
98110	-2.023507023041788	-2.0238888888888873	35.13998845578529	35.11472222222223	2018-07-18 00:00:00	17.92638888888889
101769	-2.6712190533050584	-2.671666666666667	14.67547342829604	14.614444444444445	2018-07-18 00:00:00	17.96861111111111
109176	-4.126450196061159	-4.127222222222223	25.449519358871516	25.41777777777778	2018-07-18 00:00:00	18.003888888888888
116584	-5.5964921177538836	-5.598333333333329	46.56692959097714	46.509166666666665	2018-07-18 00:00:00	18.043333333333337
113881	-5.00685399294639	-5.008333333333333	28.199604033266397	28.12611111111111	2018-07-18 00:00:00	18.06972222222222
113726	-4.950140016272483	-4.951666666666668	42.43346890740806	42.38472222222222	2018-07-18 00:00:00	18.095
677	-6.033732642546416	-6.035555555555554	29.21769821957319	29.16472222222222	2018-07-18 00:00:00	18.12
9598	-7.9059051532697895	-7.905555555555555	72.5158104427777	72.44027777777778	2018-07-18 00:00:00	18.175
11767	-8.621183618927882	-8.527222222222223	89.34362871841535	89.23361111111112	2018-07-18 00:00:00	18.226666666666667
8886	-7.667880238532232	-7.668888888888887	63.77015151078009	63.65694444444444	2018-07-18 00:00:00	18.25861111111111
3179	-6.411428801362453	-6.413611111111113	56.645534658959974	56.55916666666666	2018-07-18 00:00:00	18.279444444444444
113726	-4.736881955431558	-4.738333333333333	42.43251767600302	42.33305555555556	2018-07-18 00:00:00	18.308333333333334
102098	-2.3597831709338752	-2.3605555555555533	45.349837549058286	45.25805555555556	2018-07-18 00:00:00	18.34111111111111
88771	0.24486818781015668	0.24472222222222229	9.583720532371794	9.563055555555556	2018-07-18 00:00:00	18.38222222222222
84345	1.1625051419124948	1.1625000000000014	14.385524805556619	14.373055555555556	2018-07-18 00:00:00	18.421111111111113
83207	1.4417560613215545	1.4419444444444451	30.91056995249281	30.88888888888889	2018-07-18 00:00:00	18.45888888888889
81377	1.918932211522255	1.9188888888888904	-10.569708800702418	-10.596944444444444	2018-07-18 00:00:00	18.55611111111111
80883	2.092688968865002	2.09277777777778	1.9676127201778337	1.9494444444444445	2018-07-18 00:00:00	18.624166666666667
80816	2.1308124475470267	2.131111111111114	21.46471009373687	21.427222222222223	2018-07-18 00:00:00	18.648333333333333
80331	2.2838295364309844	2.2861111111111114	61.47693254463213	61.416666666666664	2018-07-18 00:00:00	18.689166666666665
79992	2.391164263470534	2.3922222222222196	46.278243699189694	46.195277777777775	2018-07-18 00:00:00	18.730277777777776
75695	3.289329954017141	3.290277777777776	29.05777248817068	29.011111111111113	2018-07-18 00:00:00	18.766666666666666
76276	3.195146071785402	3.1955555555555577	10.500269330950106	10.438611111111111	2018-07-18 00:00:00	18.790833333333335
