HIP	ha_calc	ha_obs	dec_calc	dec_obs	Date	LST
80763	0.5084797757721268	0.5088888888888903	-26.409025257701675	-26.41222222222222	2018-07-18 00:00:00	17.018055555555556
83207	0.2811767382246833	0.28138888888889113	30.909923804764396	30.86916666666667	2018-07-18 00:00:00	17.298055555555557
84380	0.07653970922551111	0.07694444444444315	36.79724964788208	36.74777777777778	2018-07-18 00:00:00	17.33833333333333
85670	-0.14651699393715562	-0.14555555555555344	52.292148692183815	52.22527777777778	2018-07-18 00:00:00	17.368055555555557
90139	-1.0022946896591565	-1.0022222222222226	21.790890048947936	21.82111111111111	2018-07-18 00:00:00	17.40583333333333
88794	-0.7061766795789416	-0.7058333333333309	28.77556156743484	28.75611111111111	2018-07-18 00:00:00	17.43166666666667
89962	-0.8876924911146038	-0.8872222222222206	-2.8694450902909847	-2.8916666666666666	2018-07-18 00:00:00	17.483333333333334
91262	-1.1042425556352677	-1.1038888888888891	38.80817347129089	38.76083333333333	2018-07-18 00:00:00	17.521944444444443
92420	-1.2946913368829773	-1.2947222222222194	33.39284183985113	33.32194444444445	2018-07-18 00:00:00	17.55138888888889
93194	-1.4100463765996598	-1.4102777777777824	32.7237570016762	32.652499999999996	2018-07-18 00:00:00	17.583888888888886
93747	-1.4733852371760363	-1.4733333333333327	13.906615054004394	13.866111111111111	2018-07-18 00:00:00	17.630833333333335
94376	-1.4973388424170373	-1.4966666666666697	67.69161450913914	67.59833333333333	2018-07-18 00:00:00	17.71222222222222
94779	-1.5156262088065293	-1.5158333333333331	53.404779758006356	53.30277777777778	2018-07-18 00:00:00	17.776666666666667
95853	-1.7065420601112276	-1.7069444444444422	51.771722963974184	51.67916666666667	2018-07-18 00:00:00	17.79638888888889
97165	-1.9355635685925943	-1.9361111111111136	45.18035904981974	45.08555555555556	2018-07-18 00:00:00	17.82361111111111
95947	-1.6666057652406019	-1.6669444444444395	28.008503323541895	27.919444444444444	2018-07-18 00:00:00	17.85777777777778
97365	-1.9047378610288634	-1.9050000000000011	18.59352170606965	18.503888888888888	2018-07-18 00:00:00	17.898611111111112
98110	-2.0235037566272527	-2.0238888888888873	35.14002471706767	35.11472222222223	2018-07-18 00:00:00	17.92638888888889
101769	-2.6712143806954867	-2.671666666666667	14.67557188190214	14.614444444444445	2018-07-18 00:00:00	17.96861111111111
109176	-4.126442536206144	-4.127222222222223	25.44961945000515	25.41777777777778	2018-07-18 00:00:00	18.003888888888888
116584	-5.596480690992903	-5.598333333333329	46.567015562364666	46.509166666666665	2018-07-18 00:00:00	18.043333333333337
113881	-5.006843774685205	-5.008333333333333	28.199730767783265	28.12611111111111	2018-07-18 00:00:00	18.06972222222222
113726	-4.950130414445989	-4.951666666666668	42.43354378118603	42.38472222222222	2018-07-18 00:00:00	18.095
677	-6.0337179660149385	-6.035555555555554	29.217894691256113	29.16472222222222	2018-07-18 00:00:00	18.12
9598	-7.905883226610982	-7.905555555555555	72.51590124916413	72.44027777777778	2018-07-18 00:00:00	18.175
11767	-8.620759509176027	-8.527222222222223	89.34368965008262	89.23361111111112	2018-07-18 00:00:00	18.226666666666667
8886	-7.667862923544548	-7.668888888888887	63.77026488340487	63.65694444444444	2018-07-18 00:00:00	18.25861111111111
3179	-6.4114144496793495	-6.413611111111113	56.64562171297532	56.55916666666666	2018-07-18 00:00:00	18.279444444444444
113726	-4.73687287785016	-4.738333333333333	42.432585890213204	42.33305555555556	2018-07-18 00:00:00	18.308333333333334
102098	-2.359778894955766	-2.3605555555555533	45.34985622315608	45.25805555555556	2018-07-18 00:00:00	18.34111111111111
88771	0.244867786377395	0.24472222222222229	9.583811750510758	9.563055555555556	2018-07-18 00:00:00	18.38222222222222
84345	1.1625032864364058	1.1625000000000014	14.385605146547205	14.373055555555556	2018-07-18 00:00:00	18.421111111111113
83207	1.4417538231154972	1.4419444444444451	30.910610859286464	30.88888888888889	2018-07-18 00:00:00	18.45888888888889
81377	1.9189267483463779	1.9188888888888904	-10.569490036231155	-10.596944444444444	2018-07-18 00:00:00	18.55611111111111
80883	2.0926847309986187	2.09277777777778	1.9677513566709115	1.9494444444444445	2018-07-18 00:00:00	18.624166666666667
80816	2.130809042957347	2.131111111111114	21.464779698458848	21.427222222222223	2018-07-18 00:00:00	18.648333333333333
80331	2.2838234946449583	2.2861111111111114	61.476919543281724	61.416666666666664	2018-07-18 00:00:00	18.689166666666665
79992	2.391159866746579	2.3922222222222196	46.278260866242626	46.195277777777775	2018-07-18 00:00:00	18.730277777777776
75695	3.289324394394229	3.290277777777776	29.057840075156726	29.011111111111113	2018-07-18 00:00:00	18.766666666666666
76276	3.1951397819842513	3.1955555555555577	10.50039742638193	10.438611111111111	2018-07-18 00:00:00	18.790833333333335
