HIP	ha_calc_uncorr	ha_obs	dec_calc_uncorr	dec_obs	Date	LST
80763	0.508889011631485	0.5088888888888903	-26.47053532916758	-26.41222222222222	2018-07-18 00:00:00	17.018055555555556
83207	0.28123842002070987	0.28138888888889113	30.90464927314998	30.86916666666667	2018-07-18 00:00:00	17.298055555555557
84380	0.07655713678278886	0.07694444444444315	36.793746223113565	36.74777777777778	2018-07-18 00:00:00	17.33833333333333
85670	-0.14655860680916888	-0.14555555555555344	52.29291529111432	52.22527777777778	2018-07-18 00:00:00	17.368055555555557
90139	-1.0025149355854275	-1.0022222222222226	21.78231862193324	21.82111111111111	2018-07-18 00:00:00	17.40583333333333
88794	-0.7063310674579384	-0.7058333333333309	28.769494695007882	28.75611111111111	2018-07-18 00:00:00	17.43166666666667
89962	-0.8879565820424098	-0.8872222222222206	-2.890297394393675	-2.8916666666666666	2018-07-18 00:00:00	17.483333333333334
91262	-1.104501453200811	-1.1038888888888891	38.80489965934971	38.76083333333333	2018-07-18 00:00:00	17.521944444444443
92420	-1.29498317068089	-1.2947222222222194	33.38784028655066	33.32194444444445	2018-07-18 00:00:00	17.55138888888889
93194	-1.410363902406118	-1.4102777777777824	32.718456152026405	32.652499999999996	2018-07-18 00:00:00	17.583888888888886
93747	-1.473729647033565	-1.4733333333333327	13.894488567962652	13.866111111111111	2018-07-18 00:00:00	17.630833333333335
94376	-1.4980762397660428	-1.4966666666666697	67.69614264601702	67.59833333333333	2018-07-18 00:00:00	17.71222222222222
94779	-1.516082157298154	-1.5158333333333331	53.40525424231218	53.30277777777778	2018-07-18 00:00:00	17.776666666666667
95853	-1.7070374756349267	-1.7069444444444422	51.77157946995562	51.67916666666667	2018-07-18 00:00:00	17.79638888888889
97165	-1.9360629772599793	-1.9361111111111136	45.1781594169022	45.08555555555556	2018-07-18 00:00:00	17.82361111111111
95947	-1.6669780263631786	-1.6669444444444395	28.00145223978583	27.919444444444444	2018-07-18 00:00:00	17.85777777777778
97365	-1.9051770910798709	-1.9050000000000011	18.58273942032926	18.503888888888888	2018-07-18 00:00:00	17.898611111111112
98110	-2.0239740903606283	-2.0238888888888873	35.13480288938069	35.11472222222223	2018-07-18 00:00:00	17.92638888888889
101769	-2.6718871931902584	-2.671666666666667	14.661394346356477	14.614444444444445	2018-07-18 00:00:00	17.96861111111111
109176	-4.127545424230792	-4.127222222222223	25.43520540653731	25.41777777777778	2018-07-18 00:00:00	18.003888888888888
116584	-5.598125771707743	-5.598333333333329	46.55463304764747	46.509166666666665	2018-07-18 00:00:00	18.043333333333337
113881	-5.008314954817568	-5.008333333333333	28.18147923986157	28.12611111111111	2018-07-18 00:00:00	18.06972222222222
113726	-4.951512841279747	-4.951666666666668	42.42276010124789	42.38472222222222	2018-07-18 00:00:00	18.095
677	-6.035830807217	-6.035555555555554	29.189599060702413	29.16472222222222	2018-07-18 00:00:00	18.12
9598	-7.90903839477059	-7.905555555555555	72.5028195632109	72.44027777777778	2018-07-18 00:00:00	18.175
11767	-8.6810263026603	-8.527222222222223	89.33483328855293	89.23361111111112	2018-07-18 00:00:00	18.226666666666667
8886	-7.670354850465149	-7.668888888888887	63.75393442253226	63.65694444444444	2018-07-18 00:00:00	18.25861111111111
3179	-6.413480410008109	-6.413611111111113	56.6330821116092	56.55916666666666	2018-07-18 00:00:00	18.279444444444444
113726	-4.738179846148071	-4.738333333333333	42.42276138513397	42.33305555555556	2018-07-18 00:00:00	18.308333333333334
102098	-2.3603946067521484	-2.3605555555555533	45.34716678349345	45.25805555555556	2018-07-18 00:00:00	18.34111111111111
88771	0.2449255904740859	0.24472222222222229	9.570676337431454	9.563055555555556	2018-07-19 00:00:00	18.38222222222222
84345	1.1627704612559704	1.1625000000000014	14.37403601041432	14.373055555555556	2018-07-19 00:00:00	18.421111111111113
83207	1.4420761050879882	1.4419444444444451	30.904720191740328	30.88888888888889	2018-07-19 00:00:00	18.45888888888889
81377	1.9197135259082891	1.9188888888888904	-10.600991902259205	-10.596944444444444	2018-07-19 00:00:00	18.55611111111111
80883	2.093294976527865	2.09277777777778	1.9477876768344171	1.9494444444444445	2018-07-19 00:00:00	18.624166666666667
80816	2.131299270389828	2.131111111111114	21.454756458926926	21.427222222222223	2018-07-19 00:00:00	18.648333333333333
80331	2.284693563770425	2.2861111111111114	61.47879111847575	61.416666666666664	2018-07-19 00:00:00	18.689166666666665
79992	2.3917929666294384	2.3922222222222196	46.27578842023124	46.195277777777775	2018-07-19 00:00:00	18.730277777777776
75695	3.290124905069561	3.290277777777776	29.048107018683222	29.011111111111113	2018-07-19 00:00:00	18.766666666666666
76276	3.1960454597140604	3.1955555555555577	10.481951397756585	10.438611111111111	2018-07-19 00:00:00	18.790833333333335
75458	3.4166451536566225	3.4183333333333312	58.90853217147483	58.86666666666667	2018-07-19 00:00:00	18.839166666666664
75097	3.5167091377260817	3.520833333333332	71.77524710484879	71.73166666666667	2018-07-19 00:00:00	18.862222222222222
72607	4.045091458246802	4.050277777777778	74.08717881128806	74.01472222222222	2018-07-19 00:00:00	18.889722222222222
68756	4.831735395935899	4.834722222222222	64.29507517439819	64.23222222222222	2018-07-19 00:00:00	18.913055555555555
65477	5.505093750850557	5.506666666666668	54.898797544440384	54.83083333333334	2018-07-19 00:00:00	18.9375
62956	6.047304131549335	6.048888888888889	55.8662908920521	55.80694444444444	2018-07-19 00:00:00	18.960833333333333
56211	7.462168608779207	7.468055555555557	69.23451141545999	69.16305555555556	2018-07-19 00:00:00	19.0025
