Alt[°]    Az[°]    Type
11.540269953369068    170.5002307935695    Horizontal
10.7680808871663    175.2208956267768    Horizontal
10.897862089691898    180.0    Horizontal
10.269950582510992    -175.17695753719673    Horizontal
10.883505902970576    -170.38352378457768    Horizontal
10.768823054990074    -165.3455807696162    Tree/Horizontal
13.926531858678072    -161.22484660697867    Tree
17.195599636413682    -157.44910241374103    Tree
11.620031878934007    -148.91114359009313    Tree
21.58816304165209    -149.10471551491722    Tree
12.182100707176437    -135.7205489225959    Tree
17.29251687747958    -132.16310694376807    Tree
17.358959391076436    -128.24795814317287    Tree
16.554208994852967    -123.34078740486738    Tree
13.011626593972498    -115.7274970740633    Tree
12.619039280298097    -110.73615475166689    Horizontal
12.079976722678607    -100.57064217069362    Horizontal
10.185900088039961    -88.89096473867299    Horizontal
12.767315026462386    -81.11510631225428    Tree
13.63658755486348    -71.9033237952604    Tree
13.730797953998692    -62.34671848645827    Tree
16.517753594055026    -54.995932340824126    Tree
15.385051933925672    -45.40736739783195    Tree
14.249827605471754    -36.515993587901434    Tree
17.244394510206345    -29.80225310600212    Tree
16.786645206804543    -25.728955461859304    Tree
19.385806016233353    -22.649468723617428    Tree
17.815069758506976    -18.39429645277085    Tree
13.917540178597369    -13.926187167552994    Tree
15.800229806019255    -7.090540182345275    Tree
14.402137910308108    0.0    Tree
14.206429726562314    6.944851122938447    Tree
13.917540178597369    13.926187167552998    Tree
14.39736773524922    21.242902795231192    Tree
18.693114258587876    26.36363462208435    Tree
19.88987006933479    30.822460198427866    Tree
17.742310373009012    38.16015634421578    Tree
15.23857922621577    45.32492015300472    Tree
19.331358903370177    52.23568016291085    Tree
19.875106943741056    57.28528304962664    Tree
25.903731403911603    66.86068454273801    Tree
27.92145790178483    73.94757655442089    Tree
25.482784869502435    82.40122417583163    Tree
24.75519103243617    87.06221750457497    Tree
21.78914070627903    89.41320012139184    Tree
19.72520260455242    97.78970094274351    Tree
18.047683650516614    101.22273624588037    Tree/Cupboard
19.922540694112776    108.09973819537765    Tree/Cupboard
19.92473999691732    112.96653118269231    Tree/Cupboard
18.1891109125214    115.94832778139686    Cupboard
21.796949268702594    124.046616191669    Tree
17.26156820756814    119.6115621873876    Cupboard
20.05071675877851    126.59684863727593    Tree
17.3079984461787    124.02768286442313    Cupboard
17.61337050520085    128.47376745531645    Cupboard
16.514643086444128    131.5063030183839    Cupboard
17.105176559235456    135.7850030762675    Cupboard
15.574353529644203    138.2131928476609    Cupboard
15.367408374687445    141.5357258928432    Cupboard
13.465127305224598    143.60311637027976    Cupboard
12.635376162837199    146.34084417895636    Cupboard
11.914242274897992    149.07119608372994    Horizontal
12.651991048675109    152.46444775776837    Horizontal
12.635472893555526    155.32624155413004    Horizontal
11.726990806711902    160.4261012215519    Horizontal
13.186428776144227    165.99634196342953    Horizontal
12.19698718850086    170.61748539445705    Horizontal
11.598284116771053    175.29445286435822    Horizontal
10.397862089691893    180.0    Horizontal
10.269950582510992    -175.17695753719673    Horizontal
10.555107240032985    -170.3253649008254    Horizontal
